quarter_start,revenue,fitted_revenue
2019-01-01,32561730.0,41340176.29999998
2019-04-01,31376467.0,26884815.099999998
2019-07-01,32763819.0,29302289.899999995
2019-10-01,42876672.0,71384370.3
2020-01-01,89027379.0,44660859.249999985
2020-04-01,44311539.0,30205498.049999997
2020-07-01,41231030.0,32622972.849999994
2020-10-01,28564037.0,74705053.25
2021-01-01,2986590.0,47981542.19999998
2021-04-01,12675818.0,33526180.999999996
2021-07-01,13054906.0,35943655.8
2021-10-01,150028047.0,78025736.2
2022-01-01,81253357.0,51302225.14999998
2022-04-01,67471015.0,36846863.949999996
2022-07-01,62779615.0,39264338.75
2022-10-01,85232418.0,81346419.15
2023-01-01,34078655.0,54622908.09999998
2023-04-01,11796066.0,40167546.9
2023-07-01,29888909.0,42585021.699999996
2023-10-01,83427507.0,84667102.1
